"Start date","End date","Event name",Type,"Line up","Ticket price","Venue name",City,Country,Capacity
2026-02-28T19:00:00+00:00,,"Tonight's Sunshine, Dean Nelson, Moon Witch, TRIPOLAR",concert,"Tonight's Sunshine, Dean Nelson, Moon Witch, TRIPOLAR",,"Central Records",Phoenix,"United States",0
2026-01-30T18:30:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"The Rialto Theatre",Tucson,"United States",1400
2026-01-10T17:00:00+00:00,,"Tonight's Sunshine, The Copper Queens, Human Sounds, Woke Up New",concert,"Tonight's Sunshine, The Copper Queens, Human Sounds, Woke Up New",,"Thunder Canyon Brewery",Tucson,"United States",150
2026-01-03T19:00:00+00:00,,"Tonight's Sunshine, B3lla Donna, Paperflower, Saint Apollo",concert,"Tonight's Sunshine, B3lla Donna, Paperflower, Saint Apollo",,"Valley Bar",Phoenix,"United States",1800
2025-12-06T12:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"San Xavier Co-Op Farm",Tucson,"United States",0
2025-11-16T18:00:00+00:00,,"Tonight's Sunshine, Less Than Perfect",concert,"Tonight's Sunshine, Less Than Perfect",,"The Viper Room","West Hollywood","United States",500
2025-10-18T00:00:00+00:00,2025-10-19T00:00:00+00:00,"Phoenix Pride Fest 2025",festival,"Tonight's Sunshine, Christie Huff, Snow Tha Product, Big Freedia, Todrick Hall, Debby Holiday, Ryan Cassata, pure xtc, DJ Jamie J Sanchez",,"Steele Indian School Park",Phoenix,"United States",0
2025-09-10T19:00:00+00:00,,"Tonight's Sunshine, Ryan Cassata, Rubee, The Copper Queens",concert,"Tonight's Sunshine, Ryan Cassata, Rubee, The Copper Queens","11.5 - 11.5 USD",Groundworks,Tucson,"United States",0
2025-09-02T19:00:00+00:00,,"Tonight's Sunshine, Dean Nelson, Marloma",concert,"Tonight's Sunshine, Dean Nelson, Marloma",,"Valley Bar",Phoenix,"United States",1800
2025-07-26T19:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"Starlite Lounge",Glendale,"United States",125
2025-06-22T21:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,URBRX,"South Tucson","United States",0
2025-06-20T18:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"The Rock",Tucson,"United States",250
2025-05-03T18:00:00+00:00,,"Tonight's Sunshine, Barnaby and the Butcher, Miss Olivia & the Interlopers",concert,"Tonight's Sunshine, Barnaby and the Butcher, Miss Olivia & the Interlopers",,"MSA Annex",Tucson,"United States",2500
2025-03-21T18:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"Subspace Recording",Tucson,"United States",0
2025-03-08T20:00:00+00:00,,"Tonight's Sunshine, Jaxon Ovation, The Copper Queens",concert,"Tonight's Sunshine, Jaxon Ovation, The Copper Queens",,"Saint Charles Tavern",Tucson,"United States",0
2024-09-28T19:30:00+00:00,,"Tonight's Sunshine, stratejacket",concert,"Tonight's Sunshine, stratejacket",,Groundworks,Tucson,"United States",0
2024-07-28T19:00:00+00:00,,"Tonight's Sunshine, Valleyheart, Marble",concert,"Tonight's Sunshine, Valleyheart, Marble",,Groundworks,Tucson,"United States",0
2024-06-21T18:30:00+00:00,,"Tonight's Sunshine, Hallyways, Wind Below, Noah Martin Music",concert,"Tonight's Sunshine, Hallyways, Wind Below, Noah Martin Music",,"The Rialto Theatre",Tucson,"United States",1400
2024-06-20T19:00:00+00:00,,"Tonight's Sunshine, Noah Martin",concert,"Tonight's Sunshine, Noah Martin",,"Club Congress",Tucson,"United States",400
2024-05-24T19:00:00+00:00,,"Tonight's Sunshine, Fea, Birds and Arrows",concert,"Tonight's Sunshine, Fea, Birds and Arrows",,"Club Congress",Tucson,"United States",400
2024-02-16T00:00:00+00:00,,"Tonight's Sunshine, Starjuice, TV Messages",concert,"Tonight's Sunshine, Starjuice, TV Messages",,"The Nile Coffee Shop",Mesa,"United States",0
2024-02-15T00:00:00+00:00,,"Tonight's Sunshine, Starjuice",concert,"Tonight's Sunshine, Starjuice",,"The Screening Room",Tucson,"United States",0
2024-01-26T22:20:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"Molly Malones","Los Angeles","United States",0
2023-12-12T19:00:00+00:00,,"Tonight's Sunshine, Super Cassette",concert,"Tonight's Sunshine, Super Cassette",,Groundworks,Tucson,"United States",0
2023-11-17T06:30:00+00:00,,"Tonight's Sunshine, Weekend Lovers, Rolling Dusk",concert,"Tonight's Sunshine, Weekend Lovers, Rolling Dusk",,"Club Congress - Outdoor Plaza",Tucson,"United States",0
2023-09-15T19:00:00+00:00,,"Tonight's Sunshine, Foxy Shazam, The Copper Queens",concert,"Tonight's Sunshine, Foxy Shazam, The Copper Queens",,"Club Congress",Tucson,"United States",400
2023-09-09T20:00:00+00:00,,"Tonight's Sunshine, Marble, Glacier Wav",concert,"Tonight's Sunshine, Marble, Glacier Wav",,"Owls Club",Tucson,"United States",0
2023-07-28T19:00:00+00:00,,"Tonight's Sunshine, Compersion",concert,"Tonight's Sunshine, Compersion",,"Blacklidge Community Collective",Tucson,"United States",0
2023-07-06T18:30:00+00:00,,"Tonight's Sunshine, Hoity-Toity, Veronica Everheart, Knee Breaker",concert,"Tonight's Sunshine, Hoity-Toity, Veronica Everheart, Knee Breaker",,"The Rebel Lounge",Phoenix,"United States",300
2023-05-31T19:00:00+00:00,,"Tonight's Sunshine, not sorry",concert,"Tonight's Sunshine, not sorry",,"Club Congress",Tucson,"United States",400
2023-05-06T20:20:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"Molly Malone's Irish Pub","Los Angeles","United States",310
2023-04-02T20:00:00+00:00,,"Tonight's Sunshine, Red Light Cameras, The Stakes",concert,"Tonight's Sunshine, Red Light Cameras, The Stakes",,"Thunder Canyon Brewery",Tucson,"United States",150
2023-02-26T18:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"Club Congress",Tucson,"United States",400
2023-01-25T19:30:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"The Rebel Lounge",Phoenix,"United States",300
2023-01-12T19:00:00+00:00,,"Tonight's Sunshine, Space Junk",concert,"Tonight's Sunshine, Space Junk",,"Club Congress",Tucson,"United States",400
2022-12-15T20:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"Chicago Bar",Tucson,"United States",300
2022-12-03T19:00:00+00:00,,"Tonight's Sunshine",concert,"Tonight's Sunshine",,"Club Congress",Tucson,"United States",400
2022-01-06T18:00:00+00:00,,"Tonight's Sunshine, Sunfish, Noah Martin Music, Noah Martin",concert,"Tonight's Sunshine, Sunfish, Noah Martin Music, Noah Martin",,"House Of Bards",Tucson,"United States",0
2021-12-29T20:00:00+00:00,,"Tonight's Sunshine, Blu Joy",concert,"Tonight's Sunshine, Blu Joy",,"The Rebel Lounge",Phoenix,"United States",300
2021-11-12T18:00:00+00:00,,"Tonight's Sunshine, Viper Club, This Modern, Crashing Saturn, Sorry X",concert,"Tonight's Sunshine, Viper Club, This Modern, Crashing Saturn, Sorry X",,"Solar Culture Gallery & Performance Space",Tucson,"United States",150
2021-07-18T18:00:00+00:00,,"Tonight's Sunshine, Crashing Saturn, Desert Bloom, The Sinks (US)",concert,"Tonight's Sunshine, Crashing Saturn, Desert Bloom, The Sinks (US)",,"House Of Bards",Tucson,"United States",0
2020-02-01T19:00:00+00:00,,"Tonight's Sunshine, Clementine Was Right, Moontrax",concert,"Tonight's Sunshine, Clementine Was Right, Moontrax",,"The Boxyard",Tucson,"United States",0
