Country,"Spotify ML","Spotify ML evo %","Youtube views","Youtube views evo %","Youtube Subscribes","Youtube Subscribes evo %","Tiktok followers","Tiktok followers evo %","Instagram followers","Instagram followers evo %","Instagram Likes","Instagram Likes evo %"
"United States",278,8.17,0,0,0,0,239,,4291,,4291,
Brazil,20,11.11,0,0,0,0,18,,18,,18,
Mexico,6,-14.29,0,0,0,0,74,,74,,74,
Canada,4,0,0,0,0,0,0,0,4744,,4744,
Indonesia,4,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",3,0,0,0,0,0,31,,31,,31,
Australia,3,,0,0,0,0,0,0,6641,,6641,
China,0,0,0,0,0,0,6,,0,0,0,0
Spain,0,0,0,0,0,0,12,,12,,12,
Belgium,0,0,0,0,0,0,6,,6,,6,
Russia,0,0,0,0,0,0,6,,6,,6,
