start date,venue name,city,month,year
2026-02-28,Central Records,Phoenix,February,2026
2026-01-30,The Rialto Theatre,Tucson,January,2026
2026-01-10,Thunder Canyon Brewery,Tucson,January,2026
2026-01-03,Valley Bar,Phoenix,January,2026
2025-12-06,San Xavier Co-Op Farm,Tucson,December,2025
2025-11-16,The Viper Room,West Hollywood,November,2025
2025-10-18,Steele Indian School Park,Phoenix,October,2025
2025-09-10,Groundworks,Tucson,September,2025
2025-09-02,Valley Bar,Phoenix,September,2025
2025-07-26,Starlite Lounge,Glendale,July,2025
2025-06-22,URBRX,South Tucson,June,2025
2025-06-20,The Rock,Tucson,June,2025
2025-05-03,MSA Annex,Tucson,May,2025
2025-03-21,Subspace Recording,Tucson,March,2025
2025-03-08,Saint Charles Tavern,Tucson,March,2025
2024-09-28,Groundworks,Tucson,September,2024
2024-07-28,Groundworks,Tucson,July,2024
2024-06-21,The Rialto Theatre,Tucson,June,2024
2024-06-20,Club Congress,Tucson,June,2024
2024-05-24,Club Congress,Tucson,May,2024
2024-02-16,The Nile Coffee Shop,Mesa,February,2024
2024-02-15,The Screening Room,Tucson,February,2024
2024-01-26,Molly Malones,Los Angeles,January,2024
2023-12-12,Groundworks,Tucson,December,2023
2023-11-17,Club Congress - Outdoor Plaza,Tucson,November,2023
2023-09-15,Club Congress,Tucson,September,2023
2023-09-09,Owls Club,Tucson,September,2023
2023-07-28,Blacklidge Community Collective,Tucson,July,2023
2023-07-06,The Rebel Lounge,Phoenix,July,2023
2023-05-31,Club Congress,Tucson,May,2023
2023-05-06,Molly Malone's Irish Pub,Los Angeles,May,2023
2023-04-02,Thunder Canyon Brewery,Tucson,April,2023
2023-02-26,Club Congress,Tucson,February,2023
2023-01-25,The Rebel Lounge,Phoenix,January,2023
2023-01-12,Club Congress,Tucson,January,2023
2022-12-15,Chicago Bar,Tucson,December,2022
2022-12-03,Club Congress,Tucson,December,2022
2022-01-06,House Of Bards,Tucson,January,2022
2021-12-29,The Rebel Lounge,Phoenix,December,2021
2021-11-12,Solar Culture Gallery & Performance Space,Tucson,November,2021
2021-07-18,House Of Bards,Tucson,July,2021
2020-02-01,The Boxyard,Tucson,February,2020
